problem,solver,run,conv,time_ms,nit,stage
Beale_2D_H,v54,4,1,277.1,5438,hgca_cma_refined
Beale_2D_H,v71,4,1,305.0,5438,hgca_cma_refined
Beale_2D_H,v54,5,1,274.0,4709,hgca_cma_refined
Beale_2D_H,v71,5,1,240.0,4709,hgca_cma_refined
Beale_2D_H,v54,6,1,162.0,0,homotopy_direct
Beale_2D_H,v71,6,1,151.1,0,homotopy_direct
Beale_2D_H,v54,7,1,246.0,5654,hgca_cma_refined
Beale_2D_H,v71,7,1,211.6,5654,hgca_cma_refined
Beale_2D_H,v54,8,1,68.0,3114,hgca_cma_refined
Beale_2D_H,v71,8,1,60.0,3114,hgca_cma_refined
Beale_2D_H,v54,9,1,272.0,4581,hgca_cma_refined
Beale_2D_H,v71,9,1,291.0,4581,hgca_cma_refined
Beale_2D_H,v54,10,1,239.2,5005,hgca_cma_refined
Beale_2D_H,v71,10,1,256.0,5005,hgca_cma_refined
Beale_2D_H,v54,11,1,239.4,4220,hgca_cma_refined
Beale_2D_H,v71,11,1,261.3,4220,hgca_cma_refined
Beale_2D_H,v54,12,1,65.0,3091,hgca_cma_refined
Beale_2D_H,v71,12,1,65.0,3091,hgca_cma_refined
Beale_2D_H,v54,13,1,263.3,4797,hgca_cma_refined
Beale_2D_H,v71,13,1,277.0,4797,hgca_cma_refined
Beale_2D_H,v54,14,1,279.2,5470,hgca_cma_refined
Beale_2D_H,v71,14,1,261.0,5470,hgca_cma_refined
Beale_2D_H,v54,15,1,235.0,4693,hgca_cma_refined
Beale_2D_H,v71,15,1,246.9,4693,hgca_cma_refined
Beale_2D_H,v54,16,1,157.1,0,homotopy_direct
Beale_2D_H,v71,16,1,154.0,0,homotopy_direct
Beale_2D_H,v54,17,1,61.0,3130,hgca_cma_refined
Beale_2D_H,v71,17,1,64.0,3130,hgca_cma_refined
Beale_2D_H,v54,18,1,166.8,0,homotopy_direct
Beale_2D_H,v71,18,1,160.2,0,homotopy_direct
Beale_2D_H,v54,19,1,186.0,0,homotopy_direct
Beale_2D_H,v71,19,1,194.0,0,homotopy_direct
Beale_2D_H,v54,20,1,74.0,3066,hgca_cma_refined
Beale_2D_H,v71,20,1,64.0,3066,hgca_cma_refined
Beale_2D_H,v54,21,1,300.6,5622,hgca_cma_refined
Beale_2D_H,v71,21,1,265.5,5622,hgca_cma_refined
Beale_2D_H,v54,22,1,257.8,5782,hgca_cma_refined
Beale_2D_H,v71,22,1,248.4,5782,hgca_cma_refined
Beale_2D_H,v54,23,1,222.2,5382,hgca_cma_refined
Beale_2D_H,v71,23,1,203.1,5382,hgca_cma_refined
Beale_2D_H,v54,24,1,202.0,5198,hgca_cma_refined
Beale_2D_H,v71,24,1,101.4,5198,hgca_cma_refined
Beale_2D_H,v54,25,1,255.2,5077,hgca_cma_refined
Beale_2D_H,v71,25,1,264.1,5077,hgca_cma_refined
Beale_2D_H,v54,26,1,133.8,0,homotopy_direct
Beale_2D_H,v71,26,1,82.0,0,homotopy_direct
Beale_2D_H,v54,27,1,283.1,5726,hgca_cma_refined
Beale_2D_H,v71,27,1,288.0,5726,hgca_cma_refined
Beale_2D_H,v54,28,1,252.0,4452,hgca_cma_refined
Beale_2D_H,v71,28,1,258.2,4452,hgca_cma_refined
Beale_2D_H,v54,29,1,282.5,4797,hgca_cma_refined
Beale_2D_H,v71,29,1,252.0,4797,hgca_cma_refined
Beale_2D_M,v54,0,1,1.0,11,direct_newton
Beale_2D_M,v71,0,1,1.0,11,direct_newton
Beale_2D_M,v54,1,1,1.0,11,direct_newton
Beale_2D_M,v71,1,1,2.0,11,direct_newton
Beale_2D_M,v54,2,1,1.0,11,direct_newton
Beale_2D_M,v71,2,1,1.0,11,direct_newton
Beale_2D_M,v54,3,1,1.0,11,direct_newton
Beale_2D_M,v71,3,1,1.0,11,direct_newton
Beale_2D_M,v54,4,1,1.0,11,direct_newton
Beale_2D_M,v71,4,1,2.0,11,direct_newton
Beale_2D_M,v54,5,1,5.0,11,direct_newton
Beale_2D_M,v71,5,1,1.0,11,direct_newton
Beale_2D_M,v54,6,1,1.0,11,direct_newton
Beale_2D_M,v71,6,1,2.0,11,direct_newton
Beale_2D_M,v54,7,1,1.0,11,direct_newton
Beale_2D_M,v71,7,1,1.0,11,direct_newton
Beale_2D_M,v54,8,1,1.0,11,direct_newton
Beale_2D_M,v71,8,1,2.0,11,direct_newton
Beale_2D_M,v54,9,1,2.0,11,direct_newton
Beale_2D_M,v71,9,1,1.0,11,direct_newton
Beale_2D_M,v54,10,1,1.0,11,direct_newton
Beale_2D_M,v71,10,1,1.0,11,direct_newton
Beale_2D_M,v54,11,1,1.0,11,direct_newton
Beale_2D_M,v71,11,1,2.0,11,direct_newton
Beale_2D_M,v54,12,1,1.0,11,direct_newton
Beale_2D_M,v71,12,1,1.0,11,direct_newton
Beale_2D_M,v54,13,1,1.0,11,direct_newton
Beale_2D_M,v71,13,1,1.0,11,direct_newton
Beale_2D_M,v54,14,1,1.0,11,direct_newton
Beale_2D_M,v71,14,1,1.0,11,direct_newton
Beale_2D_M,v54,15,1,1.0,11,direct_newton
Beale_2D_M,v71,15,1,1.0,11,direct_newton
Beale_2D_M,v54,16,1,2.0,11,direct_newton
Beale_2D_M,v71,16,1,1.0,11,direct_newton
Beale_2D_M,v54,17,1,1.0,11,direct_newton
Beale_2D_M,v71,17,1,1.0,11,direct_newton
Beale_2D_M,v54,18,1,1.0,11,direct_newton
Beale_2D_M,v71,18,1,1.0,11,direct_newton
Beale_2D_M,v54,19,1,1.0,11,direct_newton
Beale_2D_M,v71,19,1,1.0,11,direct_newton
Beale_2D_M,v54,20,1,1.0,11,direct_newton
Beale_2D_M,v71,20,1,1.0,11,direct_newton
Beale_2D_M,v54,21,1,1.0,11,direct_newton
Beale_2D_M,v71,21,1,1.0,11,direct_newton
Beale_2D_M,v54,22,1,2.0,11,direct_newton
Beale_2D_M,v71,22,1,1.0,11,direct_newton
Beale_2D_M,v54,23,1,1.0,11,direct_newton
Beale_2D_M,v71,23,1,1.0,11,direct_newton
Beale_2D_M,v54,24,1,1.0,11,direct_newton
Beale_2D_M,v71,24,1,1.0,11,direct_newton
Beale_2D_M,v54,25,1,1.0,11,direct_newton
Beale_2D_M,v71,25,1,1.0,11,direct_newton
Beale_2D_M,v54,26,1,1.0,11,direct_newton
Beale_2D_M,v71,26,1,1.0,11,direct_newton
Beale_2D_M,v54,27,1,1.0,11,direct_newton
Beale_2D_M,v71,27,1,1.0,11,direct_newton
Beale_2D_M,v54,28,1,1.0,11,direct_newton
Beale_2D_M,v71,28,1,1.0,11,direct_newton
Beale_2D_M,v54,29,1,2.0,11,direct_newton
Beale_2D_M,v71,29,1,1.0,11,direct_newton
Beale_2D_XE,v54,0,1,822.9,31130,hgca_cma_refined
Beale_2D_XE,v71,0,1,869.0,31130,hgca_cma_refined
Beale_2D_XE,v54,1,1,862.5,28450,hgca_cma_refined
Beale_2D_XE,v71,1,1,799.4,28450,hgca_cma_refined
Beale_2D_XE,v54,2,1,815.2,31298,hgca_cma_refined
Beale_2D_XE,v71,2,1,816.3,31298,hgca_cma_refined
Beale_2D_XE,v54,3,1,910.0,29322,hgca_cma_refined
Beale_2D_XE,v71,3,1,863.3,29322,hgca_cma_refined
Beale_2D_XE,v54,4,1,732.2,29570,hgca_cma_refined
Beale_2D_XE,v71,4,1,966.4,29570,hgca_cma_refined
Beale_2D_XE,v54,5,1,819.3,30442,hgca_cma_refined
Beale_2D_XE,v71,5,1,926.3,30442,hgca_cma_refined
Beale_2D_XE,v54,6,1,807.6,28666,hgca_cma_refined
Beale_2D_XE,v71,6,1,829.3,28666,hgca_cma_refined
Beale_2D_XE,v54,7,1,809.0,29482,hgca_cma_refined
Beale_2D_XE,v71,7,1,749.6,29482,hgca_cma_refined
Beale_2D_XE,v54,8,1,807.0,29034,hgca_cma_refined
Beale_2D_XE,v71,8,1,721.2,29034,hgca_cma_refined
Beale_2D_XE,v54,9,1,809.3,29618,hgca_cma_refined
Beale_2D_XE,v71,9,1,750.0,29618,hgca_cma_refined
Beale_2D_XE,v54,10,1,865.3,29881,hgca_cma_refined
