problem,solver,run,conv,time_ms,nit,stage
Beale_2D_C,bipop,12,1,384.7,30063,
Beale_2D_C,nbipop,12,1,278.1,21870,
Beale_2D_C,hgca_v67,13,1,234.6,24656,hgca_cma_refined
Beale_2D_C,hgca_v54,13,1,223.9,24656,hgca_cma_refined
Beale_2D_C,bipop,13,1,418.0,30065,
Beale_2D_C,nbipop,13,1,277.0,21762,
Beale_2D_C,hgca_v67,14,1,208.7,22991,hgca_cma_refined
Beale_2D_C,hgca_v54,14,1,212.6,22991,hgca_cma_refined
Beale_2D_C,bipop,14,1,416.9,30106,
Beale_2D_C,nbipop,14,1,266.0,21870,
Beale_2D_C,hgca_v67,15,1,182.1,18993,hgca_cma_refined
Beale_2D_C,hgca_v54,15,1,181.9,18993,hgca_cma_refined
Beale_2D_C,bipop,15,1,484.5,30301,
Beale_2D_C,nbipop,15,1,280.0,21750,
Beale_2D_C,hgca_v67,16,1,233.1,24528,hgca_cma_refined
Beale_2D_C,hgca_v54,16,1,231.0,24528,hgca_cma_refined
Beale_2D_C,bipop,16,1,423.6,30164,
Beale_2D_C,nbipop,16,1,286.6,22074,
Beale_2D_C,hgca_v67,17,1,238.1,25208,hgca_cma_refined
Beale_2D_C,hgca_v54,17,1,229.2,25208,hgca_cma_refined
Beale_2D_C,bipop,17,1,418.5,30114,
Beale_2D_C,nbipop,17,1,265.7,21966,
Beale_2D_C,hgca_v67,18,1,180.0,17401,hgca_cma_refined
Beale_2D_C,hgca_v54,18,1,186.6,17401,hgca_cma_refined
Beale_2D_C,bipop,18,1,385.0,30085,
Beale_2D_C,nbipop,18,1,283.0,21810,
Beale_2D_C,hgca_v67,19,1,219.7,21888,hgca_cma_refined
Beale_2D_C,hgca_v54,19,1,214.0,21888,hgca_cma_refined
Beale_2D_C,bipop,19,1,440.2,30349,
Beale_2D_C,nbipop,19,1,284.3,21894,
Beale_2D_C,hgca_v67,20,1,236.0,25984,hgca_cma_refined
Beale_2D_C,hgca_v54,20,1,231.9,25984,hgca_cma_refined
Beale_2D_C,bipop,20,1,398.8,30308,
Beale_2D_C,nbipop,20,1,278.6,21762,
Beale_2D_C,hgca_v67,21,1,190.0,18153,hgca_cma_refined
Beale_2D_C,hgca_v54,21,1,188.0,18153,hgca_cma_refined
Beale_2D_C,bipop,21,1,468.6,30318,
Beale_2D_C,nbipop,21,1,285.0,21990,
